Name,Description,Time
*Online: Podcasting 201: Audio Editing with Audacity,"This event is online only. Must register with a valid email address.A podcast is a creative, on-demand audio show for sharing information, engaging audiences with stories, participating in community conversations, and much more. Come learn how to edit and mix your show with the free audio production software, Audacity. Software will be provided in our computer lab.

This class is part of the media & production classes offered at studio40. To learn more, visit https://bit.ly/3EClkVkYou will r…",2025-03-24 19:21:05.000000
CHILDRENS CRAFT: DIY R2 D2 CRAFT,"Happy Star Wars Day! Let's celebrate by creating our very own R2-D2 droid. 
	
	Please join the West New Brighton Library Thursday, May 4, 2023 at 3:15pm  for an hour of crafting.",2025-03-24 19:52:08.000000
Little Movers: Toddler Time,"This event will take place in person at the Children's Center in the Stavros Niarchos Foundation Library.

 

Join us to hear stories, sing songs, and get those wiggles out as you help your active child build important early learning skills. Discover ways to promote early literacy at home and meet other caregivers in the neighborhood. For new walkers and toddlers.

Space is limited to 20 children.  

Registration starts Friday, April 28.",2025-03-24 22:13:59.000000
Little Movers Storytime (Registration Required),"This program will take place in person at Charleston Library.

Let’s get the wiggles out! Join us to hear stories, sing songs, and get those wiggles out as you help your active child build important early learning skills. Discover ways to promote early literacy at home and meet other caregivers in the neighborhood. Best for new walkers, toddlers/or children at this developmental stage. 

Advanced registration is required for this program and walk-ins may be turned away. Please stop by or call (9…",2025-03-25 02:17:25.000000
LEGO Table Time,Play at our LEGO table Wednesday-Saturday from 10:00am-1:00pm in our early literacy corner! For Children ages 0-5 and their caregivers.,2025-03-24 22:43:56.000000
Kingsbridge Writing Circle,"This program will take place virtually.  Want to work with other writers? Commit to a writing schedule? Practice your craft through writing prompts? Receive and discuss information and tips on writing, reading, editing, and revising?

Join the weekly meetings of the Kingsbridge Writing Circle, held online at the Kingsbridge Library on every Thursday from 10 A.M. to 12 P.M. Eastern Time. Share your unpublished drafts in an intimate setting. Get and give feedback.

Writers of all genres and styles…",2025-03-24 22:03:44.000000
Lapsit/Little Movers Storytime,"This event will take place in person. Join us for a program with songs, rhymes, and favorite read-aloud books as we show you that storytime is fun for the whole family. Ideal for caregivers with multiple-aged children.

Storytime  is a program for parents/caregivers and their children. Both the parent/caregiver and the child must be present during the entire program: unaccompanied adults or children will be asked to leave the program. 

No Registration required!",2025-03-25 00:50:26.000000
Baby Lapsit Storytime,"This event will take place in person at New Amsterdam Library. Join for a special time to bond with your little one and meet other caregivers. We will explore the joys of movement, books, and songs, in addition to building early learning skills you can practice at home. Come prepared to sit with your child on your lap. Best for children who are pre-walkers or crawlers. Limited to 10 families.",2025-03-25 00:27:17.000000
In Person English Conversation Hour,"In Person English Conversation Hour (ECH), is an open conversation where English language learners can discuss life, art, music, films, food, culture, current events, and other topics of interest. 

Participation takes place in small group settings. This is not a formal class, but a fun and informal discussion, the only requirement is you are ready to have a conversation!

Spring 2023 DATES:

Tuesdays and Thursdays, 10:15 AM - 11:30 AM

Tuesdays and Thursdays, 4:15-5:30 PM

May: 2, 4, 9, 11, 16,…",2025-03-24 20:43:38.000000
*In-Person Computer Class: YouTube for Beginners,"NOTE: This class is in-person at the Pelham Bay Library computer lab, with a 7 seat limit.

Learn the basics of sharing and watching videos on YouTube. We will discuss logging in and use of the menus, 

and how to get the most out of the powerful video platform.",2025-03-24 18:56:16.000000
Preschool Storytime,"This event will take place in person at Sedgwick Library.

				Preschoolers from 3 to 5 years old and their parents/caregivers can enjoy new and classic picture books, action songs, and related activities, and meet other preschoolers in the neighborhood.

				Space is limited!

				*Masks are strongly recommended at all NYPL locations.",2025-03-24 14:17:39.000000
Lapsit Storytime: Baby & Me,"This event will take place in person at the Richmondtown Library.


	Join us for a special time to bond with your little one and meet other caregivers. We will explore the joys of movement, books, and songs, in addition to building early learning skills you can practice at home. Come prepared to sit with your child on your lap. Best for children who are pre-walkers or crawlers.

 

*Space is limited.  First come will be first served. No pre-registration required.*",2025-03-25 04:48:24.000000
Why Should I Read Great Expectations by Dickens,"This Event is Online Only

Great Expectations by Charles Dickens. Considered by many to be Dickens' finest novel, Great Expectations traces the growth of the book's narrator, Philip Pirrip (Pip), from a boy of shallow dreams to a man with depth of character. From its famous dramatic opening on the bleak Kentish marshes, the story abounds with some of Dickens' most memorable characters. Among them are the kindly blacksmith Joe Gargery, the mysterious convict Abel Magwitch, the eccentric Miss Have…",2025-03-24 17:04:34.000000
Little Movers Storytime,"This event will take place in person at Hudson Park Library. 

Join us to hear stories, sing songs, and get those wiggles out as you help your active child build important early learning skills. Discover ways to promote early literacy at home and meet other caregivers in the neighborhood. Best for new walkers, toddlers/or children at this developmental stage. 

Limited to 15 children.

Tickets will be given out at 10 am on the day of the program.",2025-03-25 00:24:16.000000
Lapsit Storytime,"This event will take place in person at the Tottenville Library.


	Join us for a special time to bond with your little one and meet other caregivers. We will explore the joys of movement, books, and songs, in addition to building early learning skills you can practice at home. Come prepared to sit with your child on your lap. Best for children who are pre-walkers or crawlers.

 

*Space is limited.*

Per NYPL policy face coverings are required for adults and children over 24 months.",2025-03-24 18:28:06.000000
Little Movers Storytime,"Join us to hear stories, sing songs, and get those wiggles out as you help your active child build important early learning skills. Discover ways to promote early literacy at home and meet other caregivers in the neighborhood. Best for new walkers, toddlers/or children at this developmental stage.

The storytime will take place inthe community room on LL2.

Limit of 15 children and their caregivers. First come, first served.",2025-03-24 21:01:11.000000
*Online: Intro to Google Slides,"This event is online only.

 

Must register with a valid email address.

 

Learn how to create, edit and share online presentations using Google Slides.

 

You will receive an email 2 hours before the class starts with the virtual class link.",2025-03-24 19:58:24.000000
Little Movers: Toddler Time,"This event will take place in person at the Children's Center in the Stavros Niarchos Foundation Library.

 

Join us to hear stories, sing songs, and get those wiggles out as you help your active child build important early learning skills. Discover ways to promote early literacy at home and meet other caregivers in the neighborhood. For new walkers and toddlers.

Space is limited to 20 children.  

Registration starts Friday, April 28.",2025-03-24 20:37:55.000000
Lapsit/Little Movers Storytime,"This event will take place in person. Join us for a program with songs, rhymes, and favorite read-aloud books as we show you that storytime is fun for the whole family. Ideal for caregivers with multiple-aged children.

Storytime  is a program for parents/caregivers and their children. Both the parent/caregiver and the child must be present during the entire program: unaccompanied adults or children will be asked to leave the program. 

No Registration required!",2025-03-24 17:15:40.000000
Adult Art Therapy,"Join us for a basic painting using water colors or coloring pencils.

Coloring promotes wellness, quietness, 

and also stimulates brain areas related to motor skills, 

the senses, and creativity and of course is fun.

This event will take place in person at The Castle Hill Library

All materials will be provided. 

Join this program and get a free watercolor paint set . While supplies last.

No Registration required.",2025-03-24 17:36:26.000000
May Color Madness,"Relax: Worry less, Create more!

This Program will meet in person at the Bronx Library Center Branch. If you like to color or draw, we invite you to participate and enjoy a pleasant and fun time with us. All materials will be provided by the library. Join Us!

 

                                                                                                           ¡Ven y colorea con nosotros!

Si te gusta colorear o dibujar te invitamos a que participes y disfrutes con nosotros de un momento…",2025-03-24 16:19:53.000000
WeSpeakNYC English Conversation Class,"This event will take place in person at the Clason's Point Library. NO REGISTRATION NEEDED! Just come to a class!

WeSpeakNYC is an Emmy Award-winning TV show created to help people practice English. Each story is about everyday situations, like going to the doctor or talking with a child's teacher. The characters speak slowly and clearly. These 2-hour classes work best for people who already speak some English and want to practice. Watch WeSpeakNYC videos and discuss them with adults (16 and up…",2025-03-24 17:31:48.000000
Microsoft Word for Beginners,"This even will take place in person at Sedgwick Branch.  Come learn how to enter and edit text, save files, and more.",2025-03-24 18:44:58.000000
English Conversation Group,"Intermediate and Advanced Level Conversation Classes for English Speakers of Other Languages (ESOL):

Adult learners will meet online and have the opportunity to practice English by chatting with library staff and other adults from around the world.  

Meet other people who are practicing English, just like you!

The program works best for people who speak some English and want to practice.  

Register below and include your contact information to receive the link to participate. The link will b…",2025-03-24 21:46:01.000000
Open Play for Babies and Toddlers,"This event will take place in person at the Columbus Library.

						An informal playgroup for young children (ages 0-4) and their parents and/or caregivers to meet other families and encourage children to develop together through play.
					
				
			
		
	

	Onsite program with songs, rhymes, an Ideal program for caregivers with children,between the ages of 0 to3 years 

	 
	 

	Open Play for Babies and Toddlers  is a program for parents/caregivers and their children. Both the parent/caregiver a…",2025-03-24 20:33:31.000000
Little Movers Storytime,"This event will take place in person at Hudson Park Library. 

Join us to hear stories, sing songs, and get those wiggles out as you help your active child build important early learning skills. Discover ways to promote early literacy at home and meet other caregivers in the neighborhood. Best for new walkers, toddlers/or children at this developmental stage. 

Limited to 15 children.

Tickets will be given out at 10 am on the day of the program.",2025-03-25 02:30:27.000000
In-Person Citizenship Study Group: Know Your Rights,"Join Clason's Point Library in collaboration with New York Legal Assitance for our In-Person Citizenship Study Group.

The citizenship study group is a place where you can study for the Naturalization Test with others who are also preparing for the exam, using materials from the United States Citizenship and Immigration Services (USCIS) and other resources, as well as playing informative games to help you learn all you'll need to know for the citizenship test. 

New York Legal Assistance will pr…",2025-03-24 23:59:29.000000
Acting for the Fun of it!,"5 weeks + Culminating exhibition on June 15th @ 11 AM

“Acting for the Fun of It” - Designed for anyone who wants to “take the stage” – in acting or public speaking!  Explore the elements of acting in order to free your creative self and increase your confidence. The tools and techniques of the actor’s craft are introduced through a wide variety of exercises, games, improvisations, short scripted material, monologues, and scenes. Use these tools and techniques to forward your acting career and i…",2025-03-24 19:45:46.000000
Lapsit Storytime,"Bond with your little one and other caregivers as we explore the joys of movement, books, and songs, in addition to building early learning skills you can practice at home! Best for children who are pre-walkers or crawlers.",2025-03-24 17:05:42.000000
Stories in the RING,"This event will take place outdoors at The Ring Garden (Riverside near Broadway)

Join us in the garden for a morning of stories and songs with Inwood Library staff and Literacy INC. The program will include stories and songs in English and Spanish. 

Recommended for children from 0-5

Dates: Outdoor Family Storytimes will be held on Thursdays at 11am  

Location: The Ring Garden, The corner of Seaman Avenue, Riverside Drive, Dyckman St, New York, NY 10040.

Inclement weather: If there is inclem…",2025-03-24 21:27:08.000000
Adult Coloring -Bronx Week,"Have you been feeling more stressed than usual lately? The City Island Library will be hosting a bi-weekly adult coloring  program to help relieve stress and promote calmness. Coloring materials will be provided.

For Bronx Week, there will be black and white pages of Bronx images to color and take home.",2025-03-24 21:29:25.000000
Little Movers Storytime and Craft,"Join us to hear stories, sing songs, and create crafts as you help your active child build important early learning skills. Discover ways to promote early literacy at home and meet other caregivers in the neighborhood. 

Best for new walkers, toddlers/or children at this developmental stage.",2025-03-24 19:35:11.000000
Creative Mindfulness,"This event will take place in-person at Dongan Hills. 

Stressed out or have a lot on your mind? Join us for Creative Mindfulness. Mindfulness is the practice of focusing on the present moment and is a great way to de-stress. Materials for coloring, drawing, and writing, as well as puzzles will be provided.",2025-03-24 18:59:21.000000
Toddler Time: Little Movers,"This storytime is for children 18-36 months and their caregivers.

Join us to hear stories, sing songs, and get those wiggles out as you help your active child build important early learning skills. Discover ways to promote early literacy at home and meet other caregivers in the neighborhood. 

Limited to 15 families. First come, first served.

Tickets will be given out at 11 am on the day of the program.",2025-03-24 18:58:39.000000
Little Movers Storytime,"Join us to hear stories, sing songs, and get those wiggles out as you help your active child build important early learning skills. Discover ways to promote early literacy at home and meet other caregivers in the neighborhood. Best for new walkers, toddlers/or children at this developmental stage.

The storytime will take place inthe community room on LL2.

Limit of 15 children and their caregivers. First come, first served.",2025-03-24 15:17:31.000000
Open Play,"Enjoy playtime in the Children's Room at Macomb's Bridge Library!



Our warm and inviting space allows you and your child to play, and socialize with others in the community. A great way to meet other babies, parents and caretakers.

Please note: This program is for both caregiver and child. It is not a structured program. You must supervise your children at all times.

To ensure the health and safety of the public and our staff, all visitors must adhere to NYPL’s health and safety policies. Le…",2025-03-24 20:58:17.000000
TechConnect: Open Computer Lab,"This event will take place in person at the Wakefield Library.
	
	Do you need some practice time on the computer? 
	
	Then Open Computer Lab is free computer time for you to hone your computer skills! 
	
	And Open Computer Hour will NOT count against your daily computer appointment.
	
	NB - Due to social distancing, this program is limited to three participants on a first-come, first-serve basis.",2025-03-24 14:21:36.000000
How to Get Listed on Google Search and Maps for Free,"**This event will be online only**

With a Google Business Profile account, you get more than a business listing. Did you know that 64% of consumers have used Google Business Listings to find contact details for a local business? Your FREE Business Profile lets you easily connect with customers across Google Search and Maps.

Join our webinar as social media strategist, Maggie Carey of Master It Media teaches you what you need to know to get started with a Google Business Listing so your prospec…",2025-03-24 20:12:46.000000
The Riverdale Writers Circle (In Person),"This event will take place in person at the Riverdale Library.  Are you interested in sharing a piece you've been working on or something from long ago?  Join library staff and other writers in the neighborhood and receive feedback on your work. Get ideas from your peers, connect with others and push your work to the next level. Get ideas from your peers, connect with others and push your work to the next level.",2025-03-24 22:05:48.000000
High Beginner Level Citizenship Test Preparation - IN PERSON,"This event will take place IN PERSON at the Stavros Niarchos Foundation Library.

For adults preparing to take the U.S. Citizenship Test in the next 1-2 years, and adult English language learners who want to improve their English by learning about American history and culture.

Topic today: Independence and the New American Government 1775-1790

A different topic each week!

Join us for lively, interactive activities!

NO registration needed! Just come to a class!",2025-03-25 02:47:09.000000
Genealogy at Baychester,"This is an in-person event.

 

Genealogy is one of the most popular subjects amongst private researchers. Understanding your family’s history can help you feel more connected to your loved ones as well as further develop your own sense of identity. 

 

The New York Public Library has a great deal of resources available to its users that assist in the study of genealogy and Baychester will now be hosting a class twice monthly to show its patrons ow to utilize them.

 

The first class of the mo…",2025-03-24 20:42:02.000000
Bring Your Own Device (BYOD),"This event will take place in person at Van Cortlandt Library.

Need help understanding your Apple or Android devices?  Then come by Van Cortland Library BYOD and enjoy.",2025-03-24 20:36:22.000000
"Adult Book Discussion:  ""On the Clock""","This event is ONLINE only.  Join the Grand Concourse staff as we discuss ""On the Clock: What Low-Wage Work Did to Me and How It Drives America Insane"" by  Emily Guendelsberger.   A reporter worked at an Amazon warehouse, a call center and a McDonald's restaurant, and wrote about her experiences afterward.  The result is an up-close-and-personal look at America's actual ""essential workers.""  Click the title above to order a copy of the book.  On the day of the program, a link to join the discussi…",2025-03-25 03:30:32.000000
Painting Classes with JASA,"The Baychester Library will be working alongside JASA to host several painting classes on the Library Patio! 

In the month of May the dates and times of the classes are as follows. 

 

May 4th  1-3 pm

May 11th 1-3pm

May 18th 1-3pm

May 25th 1-3pm

 

In the month of June the dated and times of teh classes are as follows. 

 

June 1st 1-3pm 

June 8th 1-3pm 

June 15th 1-3pm 

June 22nd 1-3pm 

 

All calsses are going to take place on the Baychester Patio weather permitting. 

 

There is n…",2025-03-25 01:36:23.000000
Adult Art Studio,"Adult Art Studio Richmondtown Library

                                                         Thursday May.4 at 1:00PM

We welcome you to join us for our Adult Art Studio program! Participants are encouraged to bring their own projects or start anew. You can improve your portfolio by creating a drawing, painting, mixed media collage, or more! Supplies will be provided, but participants are welcomed to bring their own. Drop in, share your art, and meet new people!

Open to Adults 18+",2025-03-24 18:56:47.000000
*Online: Advanced Powerpoint,"This event is online only. Must register with a valid email address.Learn how to create a dynamic slideshow presentation using advanced techniques within Microsoft Powerpoint. Topics include embedding external content, adding a theme, and using advanced formatting techniques.You will receive an email 2 hours before the class starts with the virtual class link.",2025-03-25 01:28:43.000000
*In-Person: Open Lab,"Do you have trouble with your email? Do you have questions about Microsoft Office? Do you need some help with CSS and HTML5? Have you heard about NYPL resources like LinkedIn Learning or NYPL Career Services but don't know how to access them? 

Bring your technology questions and get one-on-one assistance during this open lab time supervised by a tech instructor.",2025-03-24 18:31:34.000000
Online Computer Class || 遠程基礎電腦課程,"This class taught in Chinese only. || 本課程僅以中文授課。

Teach Basic computer skills -- 電腦基本概念以及操作方 

You can email the branch chathamsquare@nypl.org in order to receive the link to participate. We will use Google Meet for the class. The link will be sent to you by email approximately one day before our event. You will need a device with audio and/or video and an internet connection to join. || 您可以通過電子郵件chathamsquare@nypl.org 至 圖書館才能獲得參與的鏈接。 我們將在課程中使用Google Meet. 大約在活動開始前一天，該鏈接將通過電子郵件發送給您。 您需要一台具有音頻和/或…",2025-03-24 17:21:15.000000
Adult Chess Club,"This event will take place in person at George Bruce Library.

Stop by the library every Thursday at 2 p.m. for Adult Chess Club. Bring a partner or play with someone new! No registration is required.",2025-03-24 13:41:11.000000
Open Play,"Join us for a library playdate and meet other caregivers as we explore developmentally appropriate play materials in a safe, warm, and joyful environment. Extend your child's learning through play!",2025-03-24 21:15:04.000000
The Moby Dick Reading Group,"Please join us for the third installment of our book discussion group! This session will focus on chapters 10-22. It is never too late to join the group, so please do not hesitate to register. 

Though published in 1850, Moby Dick still feels remarkably modern in terms of its style, scope, and subject matter. A flop at the time of its publication, it took 70 years before the reading public finally caught up with the brilliance of Herman Melville's poetic tale of human obsession and the mysteriou…",2025-03-25 02:34:52.000000
New York Stories Book Club: Golden Hill by Francis Spufford,"In-person. Now offered at two times: Tuesday, May 2nd at 5:30 --or--Thursday, May 4th at 2:00pm.

Come read with us! Each month, we will read a novel set in New York City.

This month, we will discuss Golden Hill: A Novel of Old New York by Francis Spufford. 

Set thirty years before the American Revolution, New York is a city where anyone can reinvet themselves. When a mysterious man shows up, the locals can't decide if they should trust him, befriend him, arrest him or seduce him.

""A first ra…",2025-03-24 17:17:17.000000
Movies at Hudson Park: A Man Called Otto (2022),"Join us for classic films and blockbusters!

A Man Called Otto (2022)

 

When a lively young family moves in next door, grumpy widower Otto Anderson meets his match in a quick-witted, pregnant woman named Marisol, leading to an unlikely friendship that turns his world upside down.

Director: Marc Forster | Writers: Fredrik Backman, Hannes Holm, David Magee | Stars: Tom Hanks, Mariana Treviño, Rachel Keller | 2h 6m",2025-03-24 17:13:37.000000
*Online: Intro to Google Drive & Docs (Mandarin),"This event is online only.

 

Must register with a valid email address.

 

Learn how to create, edit and share online documents using Google's ever-evolving word processing, spreadsheet, presentation and calendar programs.

 

You will receive an email 2 hours before the class starts with the virtual class link.",2025-03-24 18:26:45.000000
Media Exploration Club,"Have you ever wanted to try a new multi-player videogame but had no one to enjoy it with? Drop by the first Saturday of every month, where we'll collectively explore video games to play and discuss our likes, dislikes, and ways to improve the game.",2025-03-24 23:33:47.000000
Gaming at the Library: Sudoku,"We’re using strategy and math skills to solve the popular
	Japanese puzzle game! Think you can complete the chosen
	puzzle?",2025-03-25 00:53:31.000000
Clone of Arts & Crafts: Huichol Yarn Painting for Cinco de Mayo!,"This event will take place in person at Macomb's Bridge Library.



It's time to celebrate Cinco de Mayo! Join us for this fun activity where we will make a traditional Mexican yarn painting! Let's use our curious minds! Join us for fun experiments, crafts and interesting adventures every week.

Registration is not required for this event.",2025-03-24 19:36:47.000000
NYPL After School,"NYPL After School is a free drop-in program for kids ages 6–12 that takes place after regular school hours on Mondays through Thursdays. Join our tutors and Teen Reading Ambassadors for homework help, reading recommendations, fun writing, STEAM, and enrichment activities—and even snacks! No need to register—just show up! Everything is free.",2025-03-25 01:35:20.000000
NYPL After School,"NYPL After School is a free drop-in program for kids ages 6–12 that takes place after regular school hours on Mondays through Thursdays. Join our tutors and Teen Reading Ambassadors for homework help, reading recommendations, fun writing, STEAM, and enrichment activities—and even snacks! No need to register—just show up! Everything is free.",2025-03-24 18:09:47.000000
NYPL After School,"NYPL After School is a free drop-in program for kids ages 6–12 that takes place after regular school hours on Mondays through Thursdays. Join our tutors and Teen Reading Ambassadors for homework help, reading recommendations, fun writing, STEAM, and enrichment activities—and even snacks! No need to register—just show up! Everything is free.",2025-03-24 18:26:12.000000
NYPL After School,"NYPL After School is a free drop-in program for kids ages 6–12 that takes place after regular school hours on Mondays through Thursdays. Join our tutors and Teen Reading Ambassadors for homework help, reading recommendations, fun writing, STEAM, and enrichment activities—and even snacks! No need to register—just show up! Everything is free.",2025-03-24 22:46:51.000000
LEGO Club at Wakefield,Join us for an afternoon of fun and building! Come build as a team or work on your own creation. We'll provide the LEGOs! For ages 5 and up. Masks are required.,2025-03-25 02:19:27.000000
Teen Advisory/ Jewelry Making,"This event will take place in person at the Morrisania Library.

Please join the young adult staff to make your favorite jewelry... the library will provide all supplies.",2025-03-24 22:23:19.000000
Teen Tech Time : Newspapers,Hey Teens! We know finding the right newspaper for your homework can be confusing.  We can show you how to find the right newspaper for your assignment.  We can also show you how to find newspapers in other languages.,2025-03-25 02:55:35.000000
DIY Button Making Workshop,This event will take place in person at Sedgwick Library. Personalized your own button or bring your own design.,2025-03-25 05:07:10.000000
Kid's Crafts!,"Join us at Grand Concourse on Thursday's for arts and crafts learning activities. Create, paint, draw, build, and more! All materials will be provided. Recommended for ages 3 and up. 

May 4th Paper Crafts - ROCKETS 

May 18th- Playdough Party 

May 25th Popsicle Stick Crafts - Angel Fish",2025-03-24 17:16:20.000000
Tween Library Trivia,"Join the children’s librarian at Mosholu Library for a trivia game. Prove just how much you know about libraries, books and win prizes!",2025-03-24 16:40:20.000000
NYPL After School,"NYPL After School is a free drop-in program for kids ages 6–12 that takes place after regular school hours on Mondays through Thursdays. Join our tutors and Teen Reading Ambassadors for homework help, reading recommendations, fun writing, STEAM, and enrichment activities—and even snacks! No need to register—just show up! Everything is free.",2025-03-24 22:02:17.000000
NYPL After School,"NYPL After School is a free drop-in program for kids ages 6–12 that takes place after regular school hours on Mondays through Thursdays. Join our tutors and Teen Reading Ambassadors for homework help, reading recommendations, fun writing, STEAM, and enrichment activities—and even snacks! No need to register—just show up! Everything is free.",2025-03-24 11:18:57.000000
Valerie's Perler Bead Craft,Get Creative with some perler beads and make something to bring home. Ages 3 and older.,2025-03-24 23:06:23.000000
"Mess-Free Finger Painting, Ages 2-4","Enjoy the fun of painting, without the mess! Children ages 2 through 4 are welcome to join us as we use our fingers to create works of art! All materials are supplied.

 

Participants mush paint around as a canvas sits safetly inside of a ziplock bag!",2025-03-24 18:02:29.000000
Perler Beads for Teens,"This program will take place inside in the community room of the West New Brighton Library.

Learn how to use perler beads to create your own unique designs. For Ages 12-18.",2025-03-24 16:17:57.000000
One-On-One Tech Help,"This event will take place in person.  If you have a tech problem, question or would just like individualized tech tutorials, this is your time to work with a staff member and receive their personal attention and instructions.",2025-03-25 02:52:15.000000
One-on-One Computer Assistance,"This event will take place in-person at the Stavros Niarchos Foundation Library, 4th floor, room 403.

Work with a Stavros Niarchos Foundation Library staff member to complete a personal project on the computer. If you have a tech problem, question, or would just like some individualized tutorials, this is your time to work with a librarian and receive personal attention and instruction. 

Assistance can include:


	Internet browsing
	Email 
	Typing software
	eBooks and Audiobooks
	Library Catal…",2025-03-24 22:56:39.000000
Make a Mini Flower Garden,This event is in-person only. Join Greenery Creations for a gardening class in which you will make a small flower garden you can take home. Free gardening supplies will be provided. This program is limited to the first 15 teens who show up.,2025-03-24 20:33:03.000000
May the Fourth Be With You,"Star Wars themed  STEAM program.  Make your own lightsaber.  For ages, 5 and up.",2025-03-24 09:45:26.000000
Teen Video Games,"This event will take place in person at the Clason's Point Library. Join us to play Nintendo Switch games! Snacks will be provided.  

For tweens and teens ages 12-18.",2025-03-24 15:57:42.000000
Hip Hop Trivia,"Join us to celebrate Hip Hop’s 50th anniversary by testing your hip-hop knowledge against other participants!

There will be small, 3D printed prizes! This event will take place in-person at Wakefield Library.


	This project was made possible in part by the Institute of Museum and Library Services.",2025-03-24 16:23:10.000000
STREAM Series,"Explore the fundamentals of STREAM (Science, Technology, Responsibility, Art, and Math) with new activities each week!",2025-03-24 19:02:04.000000
Youth Tech Club,"Welcome to Youth Tech Club! Explore new technology with us every Thursday at 4 PM including 3D Printing pens, Osmo Genius Kits, Google Chromebooks, and so much more!

This program is for ages 9 and up. Space is limited to 10 participants. Advanced registration is not required.",2025-03-24 14:41:23.000000
eBook Help Hour,"Want to read e-books on your iPad, Kindle, smart phone, tablet, or other e-reader? Bring your device to an E-Book Help Hour session and we'll get you started with free library e-books, digital magazines, video streaming, music, and more!

Learn more about library e-books at: nypl.org/ebook

E-Book Help Hour takes place in computer lab.

 Registration: NO REGISTRATION REQUIRED",2025-03-25 02:14:37.000000
Teen Movie Thursday,"This event will take place in person at the Jerome Park Library. 

Teens are invited to enjoy popcorn and snacks while watching a feature film chosen from audience suggestions.

Teens, join us each week for Teen Movie Thursday and enjoy a different movie screening each week.",2025-03-24 21:52:29.000000
Chess Club,"This event will take place in-person at Belmont Library.

Join staff at Belmont Library for Chess Club on Thursdays. Participants can learn some new moves and meet the rival you've been searching for! We'll bring the chess pieces, you bring your A game!

Thursday, May 4 - 4 PM

Thursday, May 18- 4 PM",2025-03-25 00:59:56.000000
May The Fourth Be With You Day,"Jedi, Mandalorians, and all inhabitants of this Galaxy Far Far Away! Come join us for storytime with your favorite Star Wars characters and then craft your very own Baby Yoda puppet! Feel free to wear your favorite Star Wars clothes as we celebrate this very special day and May the Fourth Be With You! 

Also check in with the children's librarians all day to participate in our Bounty Hunter Scavenger Hunt!  

This is the ""May"" (Way).",2025-03-24 15:30:18.000000
The Art Studio: DIY Paint,"This event is in person at the Bronx Library Center.

Come join our safe and friendly space where chidren will be creative with a variety of arts and crafts projects every thursday! Join us! 

Ages 6-12",2025-03-24 13:33:45.000000
Dungeons and Dragons One Hour Game at Francis Martin,"Greetings adventurers - Join us in person or virtually at Francis Martin Library for a quick and fast Dungeons and Dragons game!  

D&D is a game about adventure, mystery and drama in a fantasy based world! Meet new friends and have fun rolling dice, fighting monsters, and saving the realm!

New to D&D? Here are some resources!


	What is D&D?
	Start Playing
	The Structure of the Game
	Rules Overview
	The Basics
	Create Your Character: Races
	Create Your Character: Classes
	Character…",2025-03-24 13:26:51.000000
May the Fourth Be With You: Star Wars Part,"Happy Star Wars day! Join the YA staff at High Bridge to  color in a variety of items made with our new 3D printer. Items will include keychains, coasters, and bookmarks!",2025-03-24 23:42:22.000000
The Art Studio: DIY Paint,"This event is in person at the Bronx Library Center.

Come join our safe and friendly space where chidren will be creative with a variety of arts and crafts projects every thursday! Join us! 

Ages 6-12",2025-03-24 13:59:23.000000
Family Dance Party!,"This program will take place in person at Charleston Library.

Looking to get some wiggles out while learning? Come join us for our Family Dance Party! You and your little one will dance along to fun and educational videos led by our children's librarian Miss Allison! For children of all ages and their caregivers.

Advanced registration is required for this program and walk-ins may be turned away. Please stop by or call (929)284-3660 to register during our open hours.

Registration for May begin…",2025-03-24 21:06:30.000000
St. George's Children Book Hour,"This event will take place in-person at St. George Library Center.

Let's read together, talk about our favorite parts, and make our own stories! Perfect for kids who need to be encouraged to read.",2025-03-24 17:22:01.000000
Gaming Hour,"This event will take place in person at Macomb's Bridge Library.



Like to play games? Come play videogames and more with us! 

For children ages 8-12 years old.

Registration is not required for this event.",2025-03-25 00:12:29.000000
Stay Calm & Color + Mother's Day Cards,"This event will take place in person at Wakefield Library. Coloring is a great sitting still activity that encourages kids to slow down and focus on one specific task. It's also important in early childhood education by helping develop hand strength, practice pencil grip, stimulates creativity, encourages self expression, improves fine motor coordination and encourages patience and relaxation. All supplies will be provided by us. No need to Register-just show up!

 

Thursday, May 11th at 4pm: M…",2025-03-24 16:15:27.000000
Board Game Bonanza,"""This event will take place in person at the Hamilton Grange Branch Library.""


Are you a board game champion?   Show off your best moves against other board games fans! From ""Apples to Apples"" to ""Would you rather?""  Whether you're a board gaming expert or just starting out, come and join us for some board time!  Be prepare to have fun with plenty of laughter!",2025-03-24 17:46:58.000000
Family Game Hour,"This event will take place in person at the Richmondtown Branch Library.

Choose a board game or puzzle from our collection & get your game on! Fun for the whole family.",2025-03-24 16:50:38.000000
Kid Flicks,"**This event will take place in person at the Yorkville Branch.**

Join us in our community room for our children's film showing. Watch short films based on popular picture books. The perfect way to meet up with friends and end a busy day. All films subject to last minute substitutions.

 

Showing:  Sylvester and the Magic Pebble

                       Foolish Frog

 

PLEASE NOTE:  

All films are subject to last minute substitutions.

Space is limited to 10 children plus caregivers.",2025-03-24 17:51:23.000000
Star Wars Day Celebration,May the 4th be with you!  Join us at Washington Heights to celebrate Star Wars day. Come dressed up as your favorite character and make your own light-saber!,2025-03-24 16:32:13.000000
